subject,relation,prompt,position_mode,ablated_positions,band,condition,replicate,greedy_span,content_token,content_index,span_logp_clean,span_logp_cond,delta_span_logp,content_logp_clean,content_logp_cond,delta_content_logp,rank_content_under_cond,content_top1_changed,content_top1_cond,kl_first_token
Nelson Mandela,birth_city,Nelson Mandela was born in the city of,subject_all,1 2 3,6-8,name_lens,0," Johannesburg, South Africa", Johannesburg,0,-2.8388,-6.9688,-4.13,-1.5788,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,Nelson Mandela was born in the city of,subject_all,1 2 3,6-9,name_lens,0," Johannesburg, South Africa", Johannesburg,0,-2.8388,-7.2757,-4.4369,-1.5788,-3.2002,-1.6214,3,1, Blo,0.5123
Nelson Mandela,birth_city,Nelson Mandela was born in the city of,subject_all,1 2 3,7-20,name_lens,0," Johannesburg, South Africa", Johannesburg,0,-2.8388,-4.1647,-1.3259,-1.5788,-2.4053,-0.8265,2,1, Blo,0.552
Nelson Mandela,birth_city,Nelson Mandela was born in the city of,subject_all,1 2 3,8-20,name_lens,0," Johannesburg, South Africa", Johannesburg,0,-2.8388,-3.9546,-1.1157,-1.5788,-2.2608,-0.682,2,1, Blo,0.5309
Nelson Mandela,birth_city,Nelson Mandela was born in the city of,subject_all,1 2 3,9-20,name_lens,0," Johannesburg, South Africa", Johannesburg,0,-2.8388,-3.5633,-0.7245,-1.5788,-2.1562,-0.5774,1,0, Johannesburg,0.5149
Nelson Mandela,birth_year,Nelson Mandela was born in the year,subject_all,1 2 3,6-8,name_lens,0, 1918.,191,1,-1.6783,-4.1086,-2.4303,-0.1251,-0.3615,-0.2364,1,0,191,0.8212
Nelson Mandela,birth_year,Nelson Mandela was born in the year,subject_all,1 2 3,6-9,name_lens,0, 1918.,191,1,-1.6783,-4.2888,-2.6105,-0.1251,-0.3989,-0.2738,1,0,191,0.8545
Nelson Mandela,birth_year,Nelson Mandela was born in the year,subject_all,1 2 3,7-20,name_lens,0, 1918.,191,1,-1.6783,-4.0328,-2.3544,-0.1251,-0.678,-0.553,1,0,191,0.2384
Nelson Mandela,birth_year,Nelson Mandela was born in the year,subject_all,1 2 3,8-20,name_lens,0, 1918.,191,1,-1.6783,-3.7451,-2.0668,-0.1251,-0.7197,-0.5946,1,0,191,0.0902
Nelson Mandela,birth_year,Nelson Mandela was born in the year,subject_all,1 2 3,9-20,name_lens,0, 1918.,191,1,-1.6783,-3.7383,-2.06,-0.1251,-0.7626,-0.6375,1,0,191,0.0224
Nelson Mandela,birth_country,Nelson Mandela was born in the country of,subject_all,1 2 3,6-8,name_lens,0, South Africa. He, South,0,-3.3744,-7.5107,-4.1363,-0.1919,-1.0785,-0.8867,1,0, South,0.6061
Nelson Mandela,birth_country,Nelson Mandela was born in the country of,subject_all,1 2 3,6-9,name_lens,0, South Africa. He, South,0,-3.3744,-9.23,-5.8556,-0.1919,-1.2216,-1.0298,1,0, South,0.722
Nelson Mandela,birth_country,Nelson Mandela was born in the country of,subject_all,1 2 3,7-20,name_lens,0, South Africa. He, South,0,-3.3744,-3.7446,-0.3702,-0.1919,-0.2863,-0.0945,1,0, South,0.0514
Nelson Mandela,birth_country,Nelson Mandela was born in the country of,subject_all,1 2 3,8-20,name_lens,0, South Africa. He, South,0,-3.3744,-3.6736,-0.2992,-0.1919,-0.2798,-0.088,1,0, South,0.0464
Nelson Mandela,birth_country,Nelson Mandela was born in the country of,subject_all,1 2 3,9-20,name_lens,0, South Africa. He, South,0,-3.3744,-3.6815,-0.3071,-0.1919,-0.298,-0.1062,1,0, South,0.0357
Nelson Mandela,death_year,Nelson Mandela died in the year,subject_all,1 2 3,6-8,name_lens,0, 2013.,201,1,-2.5373,-8.7648,-6.2275,-0.2994,-2.672,-2.3726,5,1,199,0.805
Nelson Mandela,death_year,Nelson Mandela died in the year,subject_all,1 2 3,6-9,name_lens,0, 2013.,201,1,-2.5373,-8.9218,-6.3845,-0.2994,-2.8458,-2.5463,5,1,199,0.8165
Nelson Mandela,death_year,Nelson Mandela died in the year,subject_all,1 2 3,7-20,name_lens,0, 2013.,201,1,-2.5373,-7.7208,-5.1835,-0.2994,-1.8336,-1.5341,3,1,199,0.6713
Nelson Mandela,death_year,Nelson Mandela died in the year,subject_all,1 2 3,8-20,name_lens,0, 2013.,201,1,-2.5373,-6.2991,-3.7618,-0.2994,-1.7535,-1.4541,3,1,199,0.2161
Nelson Mandela,death_year,Nelson Mandela died in the year,subject_all,1 2 3,9-20,name_lens,0, 2013.,201,1,-2.5373,-5.1176,-2.5803,-0.2994,-1.3064,-1.0069,2,1,199,0.0259
Nelson Mandela,occupation,Nelson Mandela worked as a,subject_all,1 2 3,6-8,name_lens,0, lawyer in South Africa, lawyer,0,-3.6745,-8.7433,-5.0687,-1.0007,-2.7704,-1.7698,1,0, lawyer,0.8413
Nelson Mandela,occupation,Nelson Mandela worked as a,subject_all,1 2 3,6-9,name_lens,0, lawyer in South Africa, lawyer,0,-3.6745,-10.0263,-6.3518,-1.0007,-3.4166,-2.4159,1,0, lawyer,1.2138
Nelson Mandela,occupation,Nelson Mandela worked as a,subject_all,1 2 3,7-20,name_lens,0, lawyer in South Africa, lawyer,0,-3.6745,-5.0139,-1.3394,-1.0007,-1.4407,-0.44,1,0, lawyer,0.153
Nelson Mandela,occupation,Nelson Mandela worked as a,subject_all,1 2 3,8-20,name_lens,0, lawyer in South Africa, lawyer,0,-3.6745,-4.6913,-1.0168,-1.0007,-1.4252,-0.4245,1,0, lawyer,0.133
Nelson Mandela,occupation,Nelson Mandela worked as a,subject_all,1 2 3,9-20,name_lens,0, lawyer in South Africa, lawyer,0,-3.6745,-4.4807,-0.8062,-1.0007,-1.3419,-0.3412,1,0, lawyer,0.0737
Nelson Mandela,profession_of,The profession of Nelson Mandela was,subject_all,4 5,6-8,name_lens,0, a lawyer. The, lawyer,1,-6.8913,-7.2895,-0.3982,-2.0742,-2.1885,-0.1143,1,0, lawyer,0.0291
Nelson Mandela,profession_of,The profession of Nelson Mandela was,subject_all,4 5,6-9,name_lens,0, a lawyer. The, lawyer,1,-6.8913,-7.3328,-0.4415,-2.0742,-2.1542,-0.08,1,0, lawyer,0.0381
Nelson Mandela,profession_of,The profession of Nelson Mandela was,subject_all,4 5,7-20,name_lens,0, a lawyer. The, lawyer,1,-6.8913,-7.1186,-0.2273,-2.0742,-1.9696,0.1046,1,0, lawyer,0.0564
Nelson Mandela,profession_of,The profession of Nelson Mandela was,subject_all,4 5,8-20,name_lens,0, a lawyer. The, lawyer,1,-6.8913,-7.2653,-0.3739,-2.0742,-2.1105,-0.0363,1,0, lawyer,0.049
Nelson Mandela,profession_of,The profession of Nelson Mandela was,subject_all,4 5,9-20,name_lens,0, a lawyer. The, lawyer,1,-6.8913,-7.0486,-0.1573,-2.0742,-2.2646,-0.1904,1,0, lawyer,0.0386
Nelson Mandela,instrument,Nelson Mandela played the,subject_all,1 2 3,6-8,name_lens,0, role of a key, role,0,-4.2086,-12.0797,-7.8711,-0.3227,-1.1284,-0.8056,1,0, role,0.6103
Nelson Mandela,instrument,Nelson Mandela played the,subject_all,1 2 3,6-9,name_lens,0, role of a key, role,0,-4.2086,-12.8951,-8.6865,-0.3227,-1.6746,-1.3518,1,0, role,1.0434
Nelson Mandela,instrument,Nelson Mandela played the,subject_all,1 2 3,7-20,name_lens,0, role of a key, role,0,-4.2086,-6.1245,-1.9159,-0.3227,-0.5121,-0.1893,1,0, role,0.0718
Nelson Mandela,instrument,Nelson Mandela played the,subject_all,1 2 3,8-20,name_lens,0, role of a key, role,0,-4.2086,-5.4217,-1.2131,-0.3227,-0.5375,-0.2148,1,0, role,0.0701
Nelson Mandela,instrument,Nelson Mandela played the,subject_all,1 2 3,9-20,name_lens,0, role of a key, role,0,-4.2086,-4.5208,-0.3122,-0.3227,-0.4058,-0.0831,1,0, role,0.0177
