event_id,run_id,environment,condition,objective_status,arm,control_index,control_row_id,control_step,control_message_index,control_token_index,control_generated_position,control_full_position,control_token_id,control_token,match_tier,scope,lexical_match,coverage_distance,phase_distance,reused_across_events,control_window_tokens,full_control_window,pre,post,delta,baseline,peak,peak_response,trough,trough_response,anchor,raw_pre,raw_post,raw_delta,raw_baseline,raw_peak,raw_peak_response,raw_trough,raw_trough_response,raw_anchor
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,L17_SV28,1,11878,8,0,121,124,1566,13,.,same_rollout_exact_token,same_rollout,exact_token,0,0.03692283364958887,False,41,True,-0.18234556801928006,-1.0295214018046681,-0.8471758337853881,-0.3835236016011963,0.47936643005887064,0.862890031660067,-2.040719190626974,-1.6571955890257777,-0.4434047082050105,22.480994629859925,1.8927558660507202,-20.588238763809205,17.59192529591647,38.56205368041992,20.97012838450345,-22.681577682495117,-40.273502978411585,16.136682510375977
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,L17_SV28,2,11855,8,0,98,101,1543,13,.,same_rollout_exact_token,same_rollout,exact_token,0,0.055819101834282125,False,41,True,0.20265274484241877,-0.9237786530353469,-1.1264313978777656,-0.2553965042665041,1.1606563888517523,1.4160528931182563,-1.9187061693263843,-1.6633096650598802,-0.49435349594799965,31.837301635742186,4.462537571787834,-27.374764063954352,20.705695975910533,55.118900299072266,34.413204323161736,-19.716392517089844,-40.42208849300037,14.898514747619629
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,L17_SV28,3,11894,8,0,137,140,1582,13,.,same_rollout_exact_token,same_rollout,exact_token,0,0.10143896268184688,False,41,True,-0.9050762389174345,-0.842578439453912,0.06249779946352252,-0.7781511385266481,-0.07617330627167085,0.7019778322549772,-2.427745193333254,-1.649594054806606,-0.3987779726572614,4.917047429084778,6.435881614685059,1.518834185600281,8.00160693580454,25.061214447021484,17.059607511216946,-32.087162017822266,-40.088768953626804,17.221210479736328
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,L17_SV28,4,11837,8,0,80,83,1525,13,.,same_rollout_exact_token,same_rollout,exact_token,0,0.12839974699557244,False,41,True,-0.5067306467468735,-0.11944601079756345,0.38728463594931006,0.8344259337605063,1.0993886422129053,0.264962708452399,-1.5310848609349104,-2.3655107946954166,0.41910046084465324,14.597722721099853,24.009592413902283,9.41186969280243,47.19078168002042,53.62995910644531,6.439177426424891,-10.296340942382812,-57.487122622403234,37.09745788574219
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,L17_SV28,5,11920,8,0,163,166,1608,13,.,same_rollout_exact_token,same_rollout,exact_token,0,0.20627767235926625,False,41,True,-0.681863367274889,-0.18859544577706414,0.49326792149782495,-0.12031616821147101,0.575317933822242,0.6956341020337129,-1.6676731394324453,-1.5473569712209743,0.575317933822242,10.341611862182617,22.329108834266663,11.987496972084045,23.988445672121916,40.89388656616211,16.905440894040193,-13.615736961364746,-37.60418263348666,40.89388656616211
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,L18_SV30,1,11878,8,0,121,124,1566,13,.,same_rollout_exact_token,same_rollout,exact_token,0,0.03692283364958887,False,41,True,-0.8259263813414371,-0.06956758953856271,0.7563587918028745,0.07911690155831094,0.5832713021076619,0.5041544005493509,-1.775169829614218,-1.8542867311725288,-0.9946548575572193,-81.96651687622071,-60.326852798461914,21.639664077758795,-56.072942517020486,-41.64892578125,14.424016735770486,-109.12467193603516,-53.05172941901467,-86.79389190673828
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,L18_SV30,2,11855,8,0,98,101,1543,13,.,same_rollout_exact_token,same_rollout,exact_token,0,0.055819101834282125,False,41,True,-0.38137308623962973,-0.20704397363400745,0.17432911260562228,0.3484605185366352,1.1024114648966437,0.7539509463600085,-0.9881852771295115,-1.3366457956661466,-0.9881852771295115,-69.24770660400391,-64.26009559631348,4.9876110076904325,-48.36693651025946,-26.796161651611328,21.57077485864813,-86.60879516601562,-38.24185865575617,-86.60879516601562
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,L18_SV30,3,11894,8,0,137,140,1582,13,.,same_rollout_exact_token,same_rollout,exact_token,0,0.10143896268184688,False,41,True,-0.3592723531005356,-0.33364025731146907,0.025632095789066556,-0.133499062794622,-0.02137726866111,0.112121794133512,-1.7021748504444687,-1.5686757876498467,-0.48106147798766524,-68.61539764404297,-67.88205528259277,0.7333423614501982,-62.15595245361328,-58.94811248779297,3.2078399658203125,-107.03626251220703,-44.88031005859375,-72.09982299804688
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,L18_SV30,4,11837,8,0,80,83,1525,13,.,same_rollout_exact_token,same_rollout,exact_token,0,0.12839974699557244,False,41,True,0.2865007599216477,-0.11487835246081787,-0.4013791123824656,0.5766241888837073,0.7753845875778483,0.19876039869414108,-1.089535103851241,-1.6661592927349482,-0.4431269260836398,-50.139624786376956,-61.62320804595947,-11.483583259582517,-41.839101791381836,-36.152503967285156,5.68659782409668,-89.5084457397461,-47.66934394836426,-71.0145034790039
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,L18_SV30,5,11920,8,0,163,166,1608,13,.,same_rollout_exact_token,same_rollout,exact_token,0,0.20627767235926625,False,41,True,-0.22679394055149418,0.2187268382900707,0.4455207788415649,0.16578593481476347,1.4677112264292478,1.3019252916144843,-0.850520093605238,-1.0163060284200014,-0.19148888735916553,-64.82514839172363,-52.07865810394287,12.746490287780759,-53.593314084139735,-16.344820022583008,37.24849406155673,-82.67015075683594,-29.076836672696203,-63.815059661865234
