candidate,sign,rank,z,raw,pid,position,kept_position,token,context,trace_z
L03/SV12,positive,1,4.8021972108349935,36.53385925292969,fineweb_discovery_0007,182,181, examination,"or Fall Quarter of the 3rd Academic Year). The student enters official Ph.D. candidacy after passing the qualifying⟦ examination⟧ which is determined by the QE committee. The QE committee must have a minimum of four members, three of whom must be", student{+0.92}  enters{+0.90}  official{+0.96}  Ph{-1.86} .D{-1.47} .{+1.19}  candid{+1.00} acy{+1.81}  after{+0.01}  passing{+0.66}  the{+0.91}  qualifying{+2.27} ⟦ examination{+4.80}⟧  which{+0.36}  is{+0.57}  determined{+2.04}  by{+0.80}  the{+0.96}  QE{+0.82}  committee{+2.39} .{+0.70}  The{+0.67}  QE{+0.63}  committee{+2.20}  must{+1.02}
L03/SV12,positive,2,4.563956317493212,34.78787612915039,fineweb_discovery_0014,113,112, appreciation, Our 3D platforms now represent a supremely powerful aid for concept development and detailed design - also for assisting interpretation and⟦ appreciation⟧ at planning stages.\nStuck with a property problem and don't know where to turn? We have experience in a wide range, for{-0.26}  concept{+0.75}  development{+3.18}  and{+0.48}  detailed{+2.33}  design{+1.25}  -{-0.49}  also{+0.47}  for{-0.53}  assisting{+2.32}  interpretation{+4.13}  and{+0.77} ⟦ appreciation{+4.56}⟧  at{-0.38}  planning{+1.67}  stages{+0.90} .\n{-0.35} St{-2.10} uck{-2.06}  with{-1.68}  a{-0.73}  property{+0.94}  problem{-0.50}  and{-0.45}  don't{-1.66}
L03/SV12,positive,3,4.560144558975187,34.75994110107422,fineweb_discovery_0164,126,125, rehabilitation," ��🏻.\nPurpose & Passions: I am a Doctor of Chiropractic specializing in progressive, cutting-edge therapies and functional⟦ rehabilitation⟧ procedures focused on clinical physiology, total health, practical strength training, and complete conditioning. We focus on restoring normal body functions"," Doctor{+0.34}  of{+1.38}  Chiropractic{+2.14}  specializing{+2.55}  in{+0.55}  progressive{+1.56} ,{+0.91}  cutting{+0.19} -edge{+1.29}  therapies{+1.49}  and{+0.26}  functional{+1.68} ⟦ rehabilitation{+4.56}⟧  procedures{+2.17}  focused{+1.21}  on{+0.48}  clinical{+1.68}  physiology{+2.73} ,{+1.29}  total{-0.26}  health{+0.30} ,{+1.06}  practical{+2.10}  strength{+0.67}  training{+1.08}"
L03/SV12,positive,4,4.439766799358742,33.87773513793945,fineweb_discovery_0068,225,224, methodology," acronyms, figure/ table callouts and captions, and boilerplate materials.\nContribute to the management of a systematic⟦ methodology⟧ for collecting, compiling, and creating proposal materials.\nFour-year degree in Business Administration, English/Journalism, Communications or"," boiler{+1.16} plate{+1.63}  materials{+0.85} .\n{+0.05} Con{-1.15} tribute{+1.98}  to{+1.24}  the{+1.26}  management{+2.28}  of{+1.52}  a{+0.44}  systematic{+2.62} ⟦ methodology{+4.44}⟧  for{+0.49}  collecting{+1.65} ,{+1.16}  compiling{+2.35} ,{+1.43}  and{+1.09}  creating{+1.29}  proposal{+2.56}  materials{+0.92} .\n{+0.01} Four{-1.55} -year{+0.09}"
L03/SV12,positive,5,4.40636927784658,33.63297653198242,fineweb_discovery_0231,199,198, deterioration," underwriting in the consumer durables segment. The household appliances sector is holding up reasonably well for the time being, but future⟦ deterioration⟧ cannot be ruled out. As large ticket items in the furniture segment face major sales decreases we observe that the largest players are"," is{+1.07}  holding{+1.12}  up{+0.08}  reasonably{+1.10}  well{+0.38}  for{-0.97}  the{+0.62}  time{-0.64}  being{+2.05} ,{+1.37}  but{-0.12}  future{+0.45} ⟦ deterioration{+4.41}⟧  cannot{+1.10}  be{+2.03}  ruled{+0.68}  out{+1.08} .{+0.94}  As{-0.32}  large{-0.07}  ticket{-0.59}  items{-0.21}  in{-0.50}  the{+0.65}  furniture{+1.27}"
L03/SV12,positive,6,4.371672541632656,33.37869644165039,fineweb_discovery_0017,87,86, contemplation," heading to the shore thinking that this was going to be the first time ever of quitting a race. After a minute of⟦ contemplation⟧, I started swimming again and somehow made it to T1. Slowest transition ever – 7 minutes. I know"," first{-0.49}  time{-1.03}  ever{-0.08}  of{+0.24}  quitting{+1.20}  a{-0.07}  race{-0.76} .{+0.39}  After{-0.51}  a{-0.57}  minute{+0.04}  of{-0.11} ⟦ contemplation{+4.37}⟧ ,{+0.82}  I{+0.16}  started{-0.58}  swimming{-0.14}  again{+0.28}  and{-0.04}  somehow{+0.62}  made{-0.68}  it{-0.14}  to{-0.53}  T{-1.86} 1{-1.85}"
L03/SV12,positive,7,4.342768137630749,33.166866302490234,fineweb_discovery_0350,44,43, dissemination,"' and their parents' routine energy-related behavior and proves that this behavior changes to a more energy efficient one, after the⟦ dissemination⟧ of relevant information and the participation into the energy education projects. Namely, response percentages indicating the energy-efficient behavior increased after"," this{+0.18}  behavior{+1.61}  changes{-0.21}  to{-0.12}  a{-0.11}  more{-0.81}  energy{+0.21}  efficient{+1.33}  one{-0.12} ,{+1.26}  after{-0.55}  the{+0.16} ⟦ dissemination{+4.34}⟧  of{+1.77}  relevant{+1.80}  information{+1.82}  and{+1.02}  the{+0.73}  participation{+3.27}  into{+0.18}  the{+0.81}  energy{+0.45}  education{+2.44}  projects{+0.50} .{+1.15}"
L03/SV12,positive,8,4.333975015051887,33.10242462158203,fineweb_discovery_0369,173,172, establishment," for president.\nOn Friday morning, Uncle Jimmy’s Spirits & Food in Oakland became Allegheny County’s 48th⟦ establishment⟧ shut down by Treasurer John Weinstein for failure to pay the seven percent drink tax.\nThe University of Pittsburgh Medical Center is threatening", Food{-1.48}  in{-0.83}  Oakland{+1.00}  became{+0.76}  Alle{-0.26} gh{-0.39} eny{+1.88}  County{+1.05} ’s{-0.35}  {-1.40} 48{-1.78} th{+0.06} ⟦ establishment{+4.33}⟧  shut{-0.03}  down{-0.20}  by{+0.11}  Treasurer{+1.13}  John{-0.74}  Weinstein{+1.19}  for{-0.87}  failure{+1.99}  to{+1.14}  pay{-0.48}  the{+0.44}  seven{-0.29}
L03/SV12,positive,9,4.1990378265800965,32.11351776123047,fineweb_discovery_0186,52,51, rehabilitation," Kevin and the rest of the family while watching HBO's The Crash Reel, which beautifully documents Kevin's rise, fall,⟦ rehabilitation⟧/recovery and rise. Simon Pearce's Love Your Brain bowl helps fund awareness of and support for brain injuries and their"," Crash{-0.75}  Reel{-0.12} ,{+0.77}  which{+0.60}  beautifully{+1.32}  documents{+1.25}  Kevin{-1.29} 's{-0.18}  rise{+0.49} ,{+0.82}  fall{+0.19} ,{+0.73} ⟦ rehabilitation{+4.20}⟧ /re{-1.60} covery{+1.94}  and{-0.10}  rise{+0.45} .{+0.62}  Simon{+0.12}  Pear{-1.12} ce{-0.13} 's{-0.69}  Love{-1.15}  Your{-1.49}  Brain{-1.29}"
L03/SV12,positive,10,4.1393476036966685,31.676069259643555,fineweb_discovery_0210,40,39, examination," was not comfortable. Frank said he could get me in for an exam today with the Doctor. After having a great eye⟦ examination⟧, Frank said would I like to see better at night and reduce the glare. He said I could try these new contacts"," an{-0.37}  exam{+0.19}  today{-0.11}  with{-1.20}  the{+0.00}  Doctor{+0.17} .{+0.23}  After{-0.70}  having{+0.92}  a{-0.39}  great{-0.40}  eye{+0.13} ⟦ examination{+4.14}⟧ ,{+0.84}  Frank{-1.09}  said{-1.20}  would{-0.04}  I{-0.25}  like{-0.61}  to{+0.73}  see{+0.06}  better{+0.27}  at{-1.26}  night{-0.88}  and{-0.23}"
L03/SV12,positive,11,4.123258890869459,31.55816078186035,fineweb_discovery_0265,119,118, comprehensive," be part of a holistic team that includes your doctor, mental health clinician, or physical therapist to provide the most effective and⟦ comprehensive⟧ treatment.\nNote: A person that calls themselves a “Sexpert” may or may not have the academic or professional training"," health{+0.17}  clinician{+2.03} ,{+1.13}  or{+0.40}  physical{+0.15}  therapist{+0.88}  to{+0.66}  provide{+1.72}  the{+0.73}  most{-0.36}  effective{+2.25}  and{+0.16} ⟦ comprehensive{+4.12}⟧  treatment{+1.76} .\n{-0.55} Note{+0.75} :{+0.19}  A{-0.43}  person{-0.16}  that{-0.34}  calls{-1.11}  themselves{-0.49}  a{+0.01}  “{-2.54} Sex{-2.03}"
L03/SV12,positive,12,4.112421170795198,31.478734970092773,fineweb_discovery_0067,197,196, exhibition," formal connections to the D.C. art scene. While still a junior at the University of Maryland, Ruiz curated his first⟦ exhibition⟧ at the Velvet Lounge.\n“My friends and I wanted to make and show art, so we made it happen. Even though"," a{-0.06}  junior{+0.76}  at{-0.87}  the{+0.63}  University{+1.78}  of{+0.38}  Maryland{-0.09} ,{+0.99}  Ruiz{+0.47}  curated{+1.90}  his{-0.52}  first{-0.67} ⟦ exhibition{+4.11}⟧  at{-0.40}  the{+0.94}  Velvet{-0.12}  Lounge{+0.69} .\n{-0.53} “My{-1.77}  friends{-1.62}  and{-0.26}  I{-0.95}  wanted{-1.10}  to{+0.83}  make{-0.57}"
L03/SV12,positive,13,4.059640053017467,31.091920852661133,fineweb_discovery_0372,209,208, exhibition, and Saturday from 9:30 a.m. to 2 p.m. in the Trustmark Bank lobby.\nThe⟦ exhibition⟧ of artwork by Dixie Art Colony artists will be open from 6 to 8 p.m. Friday and 9:,2{-1.69}  p{-1.50} .m{-1.55} .{+1.03}  in{-0.33}  the{+0.61}  Trust{+0.06} mark{+0.24}  Bank{-0.41}  lobby{+0.83} .\n{-0.45} The{+0.52} ⟦ exhibition{+4.06}⟧  of{+1.54}  artwork{+2.11}  by{+0.78}  Dixie{+1.01}  Art{+0.16}  Colony{+1.69}  artists{+0.94}  will{+1.43}  be{+2.19}  open{-0.08}  from{-1.09}  {-1.11}
L03/SV12,positive,14,4.05058406848973,31.02555274963379,fineweb_discovery_0015,41,40, investigation," Scene Investigation Science\nA series of meetings with forensic police investigators, expose children to secrets from the world of science-based criminal⟦ investigation⟧, from crime scenes analysis, through weapons and ballistics investigations, to biological evidence. Scientific methods integrated into intriguing realistic crime",",{+0.93}  expose{+0.58}  children{+0.33}  to{+0.58}  secrets{-0.34}  from{-1.27}  the{+0.44}  world{+0.00}  of{+0.06}  science{+0.87} -based{+0.45}  criminal{+0.61} ⟦ investigation{+4.05}⟧ ,{+1.30}  from{-1.13}  crime{-0.13}  scenes{-0.43}  analysis{+2.75} ,{+0.99}  through{+0.58}  weapons{-0.46}  and{-0.01}  ball{-1.30} istics{+0.97}  investigations{+2.96}"
L03/SV12,positive,15,4.041358134602969,30.95793914794922,fineweb_discovery_0343,222,221, elaborate," a part me today. Without them I do not leave my apartment.\nThe Elaborate Bracelet\nThicker, detailed and⟦ elaborate⟧ silver bracelets\nare a true jewel in your jewellery box. These kind of bracelets are not for your office wear. They"," apartment{+1.12} .\n{-0.68} The{+0.18}  Elabor{+2.12} ate{+2.31}  Bracelet{+1.26} \n{-1.20} Th{-1.88} icker{+0.04} ,{+0.35}  detailed{+2.29}  and{-0.07} ⟦ elaborate{+4.04}⟧  silver{-0.33}  bracelets{+0.89} \n{-1.19} are{+0.56}  a{-0.00}  true{-0.19}  jewel{+2.13}  in{-0.38}  your{-0.54}  jewellery{+1.23}  box{-0.71} .{+0.54}"
L03/SV12,positive,16,4.037085717026026,30.92662811279297,fineweb_discovery_0263,39,38, perseverance, at the hands of the Nazis. Having a Holocaust Memorial created can stand as a reminder of this time but also signify the⟦ perseverance⟧ of those who survived this hell on earth and US Bronze is the company that can help you do it right.\nCustomized Holocaust, can{-0.59}  stand{+0.20}  as{+0.05}  a{+0.48}  reminder{+1.37}  of{+0.45}  this{+0.37}  time{-0.61}  but{-0.59}  also{+0.67}  signify{+2.01}  the{+0.95} ⟦ perseverance{+4.04}⟧  of{+1.75}  those{+0.73}  who{+0.10}  survived{+0.48}  this{+0.06}  hell{-1.47}  on{-1.07}  earth{+0.03}  and{+0.47}  US{-2.29}  Bronze{+0.01}  is{-0.18}
L03/SV12,positive,17,4.027091757781715,30.85338592529297,fineweb_discovery_0180,58,57, acknowledgment," wrote the modern version of the oath in 1964. His interpretation emphasizes caring, sound treatment, humility, compassion and⟦ acknowledgment⟧ of a patient's humanity. It also mentions the importance of prevention by maintaining good health.\nMost Western medical students say an oath"," His{-0.82}  interpretation{+3.32}  emphasizes{+2.80}  caring{+1.19} ,{+1.01}  sound{-0.59}  treatment{+1.64} ,{+1.18}  humility{+2.52} ,{+1.23}  compassion{+1.60}  and{+0.15} ⟦ acknowledgment{+4.03}⟧  of{+1.31}  a{+0.19}  patient's{+0.87}  humanity{+2.50} .{+0.87}  It{+0.63}  also{+0.79}  mentions{+1.31}  the{+0.71}  importance{+2.27}  of{+0.97}  prevention{+2.42}"
L03/SV12,positive,18,4.010158243087134,30.729286193847656,fineweb_discovery_0302,100,99, evaluation," facilitate teaching UL sales teams CRM and business processes across the globe.\nApproximately 600 sales people actually completed our end-of-course⟦ evaluation⟧. In addition to that, on a four point scale, our instructors on average scored about 3.5. That",".\n{-0.38} Approximately{+1.71}  {-1.09} 600{-1.09}  sales{-0.33}  people{+0.13}  actually{+0.74}  completed{+1.18}  our{-0.70}  end{-0.25} -of{-0.93} -course{+0.10} ⟦ evaluation{+4.01}⟧ .{+0.49}  In{-0.63}  addition{+1.99}  to{+0.75}  that{-0.05} ,{+0.85}  on{-1.00}  a{-0.28}  four{-1.46}  point{-0.44}  scale{+0.33} ,{+0.81}"
L03/SV12,positive,19,3.9551670028640205,30.326274871826172,fineweb_discovery_0378,184,183, inquiry," in April 2015.Sinn Féin health spokesperson for Stormont, Maeve McLaughlin, has welcomed the⟦ inquiry⟧ and has requested an immediate briefing.""We have been saying for some time now that the health service has been staggering from one"," Storm{-2.15} ont{-0.20} ,{+1.01}  Mae{+0.09} ve{+0.32}  Mc{-2.65} Laugh{-0.42} lin{-0.14} ,{+1.09}  has{-0.39}  welcomed{+1.76}  the{+1.01} ⟦ inquiry{+3.96}⟧  and{+0.43}  has{+0.41}  requested{+1.56}  an{+0.55}  immediate{+1.89}  briefing{+2.72} .""{-0.27} We{-0.11}  have{+0.22}  been{+1.89}  saying{-0.46}  for{-0.92}"
L03/SV12,positive,20,3.951620448629066,30.300283432006836,fineweb_discovery_0112,165,164, examination,",Irrgang JJ,Boninger ML,Delitto A,Allison S. Reliability and diagnostic accuracy of the clinical⟦ examination⟧ and patient self-report measures for cervical radiculopathySpine 2003;28:52–62. [pm",",{+0.12} All{-1.40} ison{+0.46}  S{-1.96} .{+0.68}  Reliability{+2.89}  and{+0.35}  diagnostic{+1.70}  accuracy{+1.76}  of{+0.78}  the{+0.86}  clinical{+1.35} ⟦ examination{+3.95}⟧  and{+0.80}  patient{+0.72}  self{-0.88} -report{+1.11}  measures{+1.58}  for{-0.16}  cervical{+0.60}  rad{-1.42} icul{+0.66} opathy{+2.31} Sp{-2.43} ine{+0.08}"
L03/SV12,positive,21,3.89525165563824,29.887176513671875,fineweb_discovery_0080,41,40, Judiciary, in favour of ..\nTopics: Government of India • Impeachment • Impeachment in the United States • India •⟦ Judiciary⟧ of India • Lok Sabha • Parliament of India • Soumitra • Soumitra Sen • Supreme Court of India •,achment{+2.56}  •{-0.13}  Im{-1.33} pe{-0.23} achment{+2.55}  in{-0.28}  the{+0.61}  United{+0.66}  States{+0.16}  •{+0.14}  India{+0.42}  •{+0.03} ⟦ Judiciary{+3.90}⟧  of{+1.22}  India{+0.82}  •{+0.06}  Lok{-0.24}  Sabha{+1.80}  •{+0.07}  Parliament{+1.87}  of{+0.96}  India{+0.92}  •{+0.28}  Sou{-1.22} mit{+0.39}
L03/SV12,positive,22,3.892812504960175,29.869300842285156,fineweb_discovery_0351,217,216, advocacy," opposition to such a trigger from so-called ""conservatives""-- other members of the Senate, as well as right-wing⟦ advocacy⟧ groups like the Koch Brothers' Americans for Prosperity, Grover Norquist’s Americans for Tax Reform and the US Chamber","""--{-0.37}  other{-0.02}  members{+0.37}  of{+0.49}  the{+0.98}  Senate{+1.25} ,{+0.87}  as{+0.21}  well{+0.71}  as{+1.11}  right{-1.25} -wing{-0.27} ⟦ advocacy{+3.89}⟧  groups{-0.45}  like{-0.82}  the{+0.75}  Koch{-0.32}  Brothers{-0.95} '{+0.31}  Americans{-0.53}  for{-1.00}  Prosper{+1.13} ity{+1.86} ,{+1.21}  Gro{-1.88}"
L03/SV12,positive,23,3.8891160413365564,29.84221076965332,fineweb_discovery_0321,69,68, administration,", particularly political science, will benefit greatly from an internship with FAIR. Other students well suited to this work come from public⟦ administration⟧ and journalism programs.\nEach intern is assigned to a specific staff member who will supervise his or her work, and establish educational", FAIR{+0.33} .{+0.65}  Other{-0.34}  students{-0.30}  well{+0.12}  suited{+0.37}  to{+0.86}  this{+0.28}  work{+0.22}  come{-0.50}  from{-0.87}  public{+0.89} ⟦ administration{+3.89}⟧  and{+0.52}  journalism{+2.65}  programs{-0.13} .\n{-0.28} Each{+0.06}  intern{+0.26}  is{+0.93}  assigned{-0.03}  to{+0.23}  a{+0.01}  specific{+0.39}  staff{-0.27}
