subject,relation,prompt,position_mode,ablated_positions,band,condition,replicate,greedy_span,content_token,content_index,span_logp_clean,span_logp_cond,delta_span_logp,content_logp_clean,content_logp_cond,delta_content_logp,rank_content_under_cond,content_top1_changed,content_top1_cond,kl_first_token
Miles Davis,birth_city,Miles Davis was born in the city of,subject_all,1 2,9-13,jspace,0," New York, in", New,0,-4.693,-5.3005,-0.6075,-1.2711,-1.7498,-0.4787,1,0, New,0.4604
Miles Davis,birth_city,Miles Davis was born in the city of,subject_all,1 2,9-13,jspace_keep_name,0," New York, in", New,0,-4.693,-4.8299,-0.1369,-1.2711,-1.3073,-0.0363,1,0, New,0.533
Miles Davis,birth_city,Miles Davis was born in the city of,subject_all,1 2,9-13,jspace_restore_rest,0," New York, in", New,0,-4.693,-4.9328,-0.2398,-1.2711,-1.4737,-0.2027,1,0, New,0.1969
Miles Davis,birth_city,Miles Davis was born in the city of,subject_all,1 2,9-13,name_lens,0," New York, in", New,0,-4.693,-4.8696,-0.1766,-1.2711,-1.4558,-0.1848,1,0, New,0.1628
Miles Davis,birth_city,Miles Davis was born in the city of,subject_all,1 2,9-17,jspace,0," New York, in", New,0,-4.693,-5.3976,-0.7046,-1.2711,-1.6531,-0.382,1,0, New,0.4812
Miles Davis,birth_city,Miles Davis was born in the city of,subject_all,1 2,9-17,jspace_keep_name,0," New York, in", New,0,-4.693,-4.7724,-0.0794,-1.2711,-1.2588,0.0122,1,0, New,0.6147
Miles Davis,birth_city,Miles Davis was born in the city of,subject_all,1 2,9-17,jspace_restore_rest,0," New York, in", New,0,-4.693,-4.7876,-0.0946,-1.2711,-1.3349,-0.0638,1,0, New,0.0944
Miles Davis,birth_city,Miles Davis was born in the city of,subject_all,1 2,9-17,name_lens,0," New York, in", New,0,-4.693,-4.9461,-0.2531,-1.2711,-1.4433,-0.1722,1,0, New,0.1498
Miles Davis,birth_city,Miles Davis was born in the city of,subject_all,1 2,6-20,jspace,0," New York, in", New,0,-4.693,-5.7725,-1.0795,-1.2711,-1.9981,-0.727,1,0, New,1.0554
Miles Davis,birth_city,Miles Davis was born in the city of,subject_all,1 2,6-20,jspace_keep_name,0," New York, in", New,0,-4.693,-5.9353,-1.2423,-1.2711,-2.4598,-1.1887,1,0, New,1.0093
Miles Davis,birth_city,Miles Davis was born in the city of,subject_all,1 2,6-20,jspace_restore_rest,0," New York, in", New,0,-4.693,-5.2908,-0.5978,-1.2711,-1.6186,-0.3475,1,0, New,0.3878
Miles Davis,birth_city,Miles Davis was born in the city of,subject_all,1 2,6-20,name_lens,0," New York, in", New,0,-4.693,-5.0494,-0.3564,-1.2711,-1.5217,-0.2506,1,0, New,0.3385
Miles Davis,birth_year,Miles Davis was born in the year,subject_all,1 2,9-13,jspace,0, 1926.,192,1,-3.3536,-4.6355,-1.2819,-0.8453,-1.1989,-0.3535,1,0,192,0.0145
Miles Davis,birth_year,Miles Davis was born in the year,subject_all,1 2,9-13,jspace_keep_name,0, 1926.,192,1,-3.3536,-3.7822,-0.4287,-0.8453,-1.3043,-0.459,2,1,191,0.0087
Miles Davis,birth_year,Miles Davis was born in the year,subject_all,1 2,9-13,jspace_restore_rest,0, 1926.,192,1,-3.3536,-4.4917,-1.1382,-0.8453,-0.8486,-0.0033,1,0,192,0.0194
Miles Davis,birth_year,Miles Davis was born in the year,subject_all,1 2,9-13,name_lens,0, 1926.,192,1,-3.3536,-4.4004,-1.0468,-0.8453,-0.9147,-0.0694,1,0,192,0.014
Miles Davis,birth_year,Miles Davis was born in the year,subject_all,1 2,9-17,jspace,0, 1926.,192,1,-3.3536,-4.639,-1.2854,-0.8453,-0.9543,-0.1089,1,0,192,0.0285
Miles Davis,birth_year,Miles Davis was born in the year,subject_all,1 2,9-17,jspace_keep_name,0, 1926.,192,1,-3.3536,-5.263,-1.9094,-0.8453,-0.7883,0.057,1,0,192,0.0165
Miles Davis,birth_year,Miles Davis was born in the year,subject_all,1 2,9-17,jspace_restore_rest,0, 1926.,192,1,-3.3536,-4.0042,-0.6507,-0.8453,-0.8453,-0.0,1,0,192,0.0211
Miles Davis,birth_year,Miles Davis was born in the year,subject_all,1 2,9-17,name_lens,0, 1926.,192,1,-3.3536,-4.4328,-1.0792,-0.8453,-0.9274,-0.0821,1,0,192,0.0152
Miles Davis,birth_year,Miles Davis was born in the year,subject_all,1 2,6-20,jspace,0, 1926.,192,1,-3.3536,-3.9688,-0.6152,-0.8453,-0.7562,0.0891,1,0,192,0.169
Miles Davis,birth_year,Miles Davis was born in the year,subject_all,1 2,6-20,jspace_keep_name,0, 1926.,192,1,-3.3536,-6.1409,-2.7873,-0.8453,-1.3064,-0.4611,2,1,191,0.0747
Miles Davis,birth_year,Miles Davis was born in the year,subject_all,1 2,6-20,jspace_restore_rest,0, 1926.,192,1,-3.3536,-5.3471,-1.9935,-0.8453,-0.8947,-0.0494,1,0,192,0.0362
Miles Davis,birth_year,Miles Davis was born in the year,subject_all,1 2,6-20,name_lens,0, 1926.,192,1,-3.3536,-5.6077,-2.2542,-0.8453,-1.1646,-0.3193,1,0,192,0.0498
Miles Davis,birth_country,Miles Davis was born in the country of,subject_all,1 2,9-13,jspace,0, the United States., United,1,-3.0297,-3.2424,-0.2127,-0.4179,-0.4816,-0.0637,1,0, United,0.092
Miles Davis,birth_country,Miles Davis was born in the country of,subject_all,1 2,9-13,jspace_keep_name,0, the United States., United,1,-3.0297,-3.2892,-0.2594,-0.4179,-0.4619,-0.0439,1,0, United,0.0653
Miles Davis,birth_country,Miles Davis was born in the country of,subject_all,1 2,9-13,jspace_restore_rest,0, the United States., United,1,-3.0297,-3.2005,-0.1708,-0.4179,-0.4688,-0.0509,1,0, United,0.0387
Miles Davis,birth_country,Miles Davis was born in the country of,subject_all,1 2,9-13,name_lens,0, the United States., United,1,-3.0297,-3.1535,-0.1237,-0.4179,-0.4648,-0.0469,1,0, United,0.0548
Miles Davis,birth_country,Miles Davis was born in the country of,subject_all,1 2,9-17,jspace,0, the United States., United,1,-3.0297,-3.1844,-0.1547,-0.4179,-0.4771,-0.0592,1,0, United,0.1366
Miles Davis,birth_country,Miles Davis was born in the country of,subject_all,1 2,9-17,jspace_keep_name,0, the United States., United,1,-3.0297,-3.2257,-0.1959,-0.4179,-0.4323,-0.0144,1,0, United,0.096
Miles Davis,birth_country,Miles Davis was born in the country of,subject_all,1 2,9-17,jspace_restore_rest,0, the United States., United,1,-3.0297,-3.243,-0.2133,-0.4179,-0.4648,-0.0468,1,0, United,0.0345
Miles Davis,birth_country,Miles Davis was born in the country of,subject_all,1 2,9-17,name_lens,0, the United States., United,1,-3.0297,-3.1429,-0.1131,-0.4179,-0.4592,-0.0412,1,0, United,0.0593
Miles Davis,birth_country,Miles Davis was born in the country of,subject_all,1 2,6-20,jspace,0, the United States., United,1,-3.0297,-2.624,0.4057,-0.4179,-0.3112,0.1068,1,0, United,0.2705
Miles Davis,birth_country,Miles Davis was born in the country of,subject_all,1 2,6-20,jspace_keep_name,0, the United States., United,1,-3.0297,-3.1187,-0.089,-0.4179,-0.4263,-0.0083,1,0, United,0.2057
Miles Davis,birth_country,Miles Davis was born in the country of,subject_all,1 2,6-20,jspace_restore_rest,0, the United States., United,1,-3.0297,-2.8683,0.1614,-0.4179,-0.4229,-0.005,1,0, United,0.0938
Miles Davis,birth_country,Miles Davis was born in the country of,subject_all,1 2,6-20,name_lens,0, the United States., United,1,-3.0297,-2.8908,0.1389,-0.4179,-0.4324,-0.0144,1,0, United,0.0957
Miles Davis,death_year,Miles Davis died in the year,subject_all,1 2,9-13,jspace,0, 1991.,199,1,-3.8919,-6.1448,-2.253,-0.5795,-2.1322,-1.5528,3,1,198,0.036
Miles Davis,death_year,Miles Davis died in the year,subject_all,1 2,9-13,jspace_keep_name,0, 1991.,199,1,-3.8919,-4.8882,-0.9964,-0.5795,-1.0257,-0.4462,1,0,199,0.0108
Miles Davis,death_year,Miles Davis died in the year,subject_all,1 2,9-13,jspace_restore_rest,0, 1991.,199,1,-3.8919,-5.3996,-1.5077,-0.5795,-1.4823,-0.9028,2,1,197,0.0198
Miles Davis,death_year,Miles Davis died in the year,subject_all,1 2,9-13,name_lens,0, 1991.,199,1,-3.8919,-5.4846,-1.5927,-0.5795,-1.5988,-1.0193,2,1,197,0.0267
Miles Davis,death_year,Miles Davis died in the year,subject_all,1 2,9-17,jspace,0, 1991.,199,1,-3.8919,-4.5199,-0.6281,-0.5795,-1.124,-0.5445,1,0,199,0.0401
Miles Davis,death_year,Miles Davis died in the year,subject_all,1 2,9-17,jspace_keep_name,0, 1991.,199,1,-3.8919,-5.2336,-1.3418,-0.5795,-1.4125,-0.833,2,1,197,0.024
Miles Davis,death_year,Miles Davis died in the year,subject_all,1 2,9-17,jspace_restore_rest,0, 1991.,199,1,-3.8919,-4.7783,-0.8865,-0.5795,-1.0779,-0.4984,1,0,199,0.0206
Miles Davis,death_year,Miles Davis died in the year,subject_all,1 2,9-17,name_lens,0, 1991.,199,1,-3.8919,-5.3263,-1.4344,-0.5795,-1.5285,-0.949,2,1,197,0.0284
Miles Davis,death_year,Miles Davis died in the year,subject_all,1 2,6-20,jspace,0, 1991.,199,1,-3.8919,-4.8124,-0.9206,-0.5795,-1.3951,-0.8156,1,0,199,0.1544
Miles Davis,death_year,Miles Davis died in the year,subject_all,1 2,6-20,jspace_keep_name,0, 1991.,199,1,-3.8919,-4.8866,-0.9948,-0.5795,-1.2112,-0.6318,2,1,197,0.1036
Miles Davis,death_year,Miles Davis died in the year,subject_all,1 2,6-20,jspace_restore_rest,0, 1991.,199,1,-3.8919,-5.4905,-1.5986,-0.5795,-1.5336,-0.9542,2,1,198,0.0387
Miles Davis,death_year,Miles Davis died in the year,subject_all,1 2,6-20,name_lens,0, 1991.,199,1,-3.8919,-5.6836,-1.7917,-0.5795,-1.7135,-1.134,3,1,198,0.051
Miles Davis,occupation,Miles Davis worked as a,subject_all,1 2,9-13,jspace,0, jazz musician in the, jazz,0,-5.9058,-6.2549,-0.3491,-2.4427,-2.6795,-0.2369,2,1, musician,0.059
Miles Davis,occupation,Miles Davis worked as a,subject_all,1 2,9-13,jspace_keep_name,0, jazz musician in the, jazz,0,-5.9058,-6.3272,-0.4214,-2.4427,-2.8162,-0.3736,2,1, musician,0.0508
Miles Davis,occupation,Miles Davis worked as a,subject_all,1 2,9-13,jspace_restore_rest,0, jazz musician in the, jazz,0,-5.9058,-5.8964,0.0094,-2.4427,-2.4503,-0.0077,1,0, jazz,0.0112
Miles Davis,occupation,Miles Davis worked as a,subject_all,1 2,9-13,name_lens,0, jazz musician in the, jazz,0,-5.9058,-5.9831,-0.0773,-2.4427,-2.4589,-0.0162,1,0, jazz,0.0117
Miles Davis,occupation,Miles Davis worked as a,subject_all,1 2,9-17,jspace,0, jazz musician in the, jazz,0,-5.9058,-6.5092,-0.6034,-2.4427,-2.8393,-0.3966,2,1, musician,0.0602
Miles Davis,occupation,Miles Davis worked as a,subject_all,1 2,9-17,jspace_keep_name,0, jazz musician in the, jazz,0,-5.9058,-6.2151,-0.3093,-2.4427,-2.7558,-0.3131,2,1, musician,0.0795
