bank,candidate,polarity,selected,selrank,layer,R,S,F,X,U,ratio
UWS,L00_SV01,negative,True,73,0,0,0,0,0,0,
UWS,L00_SV01,positive,False,73,0,7,0,2,0,0,0.000
UWS,L00_SV02,negative,True,503,0,22,1,0,0,20,0.043
UWS,L00_SV02,positive,False,503,0,37,0,17,0,0,0.000
UWS,L00_SV03,negative,False,355,0,2,2,5,1,1,0.500
UWS,L00_SV03,positive,True,355,0,32,0,0,0,16,0.000
UWS,L00_SV04,negative,True,1325,0,3,3,6,0,12,0.500
UWS,L00_SV04,positive,False,1325,0,30,2,12,0,6,0.062
UWS,L00_SV05,negative,False,870,0,15,18,3,0,8,0.545
UWS,L00_SV05,positive,True,870,0,10,1,0,0,1,0.091
UWS,L00_SV06,negative,True,868,0,5,0,0,1,3,0.000
UWS,L00_SV06,positive,False,868,0,49,5,2,0,8,0.093
UWS,L00_SV07,negative,False,178,0,20,0,2,0,3,0.000
UWS,L00_SV07,positive,True,178,0,18,11,1,0,20,0.379
UWS,L00_SV08,negative,False,17,0,28,6,6,0,11,0.176
UWS,L00_SV08,positive,True,17,0,0,0,0,0,0,
UWS,L00_SV09,negative,True,396,0,15,12,36,0,1,0.444
UWS,L00_SV09,positive,False,396,0,1,0,0,0,0,0.000
UWS,L00_SV10,negative,True,642,0,20,16,0,0,24,0.444
UWS,L00_SV10,positive,False,642,0,4,0,51,0,0,0.000
UWS,L00_SV11,negative,False,554,0,18,0,0,0,6,0.000
UWS,L00_SV11,positive,True,554,0,23,1,5,0,6,0.042
UWS,L00_SV12,negative,True,404,0,8,11,38,0,4,0.579
UWS,L00_SV12,positive,False,404,0,0,0,0,0,1,
UWS,L00_SV13,negative,True,347,0,2,1,0,0,1,0.333
UWS,L00_SV13,positive,False,347,0,9,0,33,0,11,0.000
UWS,L00_SV14,negative,False,115,0,53,9,2,0,0,0.145
UWS,L00_SV14,positive,True,115,0,30,8,2,0,19,0.211
UWS,L00_SV15,negative,False,1305,0,1,0,63,0,0,0.000
UWS,L00_SV15,positive,True,1305,0,44,0,0,0,7,0.000
UWS,L00_SV16,negative,False,1139,0,9,0,0,0,13,0.000
UWS,L00_SV16,positive,True,1139,0,10,5,0,0,3,0.333
UWS,L00_SV17,negative,False,985,0,0,53,3,0,5,1.000
UWS,L00_SV17,positive,True,985,0,21,10,0,0,6,0.323
UWS,L00_SV18,negative,True,1329,0,57,6,0,0,0,0.095
UWS,L00_SV18,positive,False,1329,0,15,0,0,0,1,0.000
UWS,L00_SV19,negative,False,203,0,52,5,0,0,5,0.088
UWS,L00_SV19,positive,True,203,0,0,0,0,0,4,
UWS,L00_SV20,negative,False,1313,0,14,28,12,0,10,0.667
UWS,L00_SV20,positive,True,1313,0,32,8,12,0,5,0.200
UWS,L00_SV21,negative,False,160,0,28,16,0,0,15,0.364
UWS,L00_SV21,positive,True,160,0,63,1,0,0,0,0.016
UWS,L00_SV22,negative,False,37,0,8,0,0,0,1,0.000
UWS,L00_SV22,positive,True,37,0,20,23,0,0,21,0.535
UWS,L00_SV23,negative,False,393,0,60,0,0,0,3,0.000
UWS,L00_SV23,positive,True,393,0,0,0,0,0,1,
UWS,L00_SV24,negative,False,658,0,48,16,0,0,0,0.250
UWS,L00_SV24,positive,True,658,0,1,0,0,1,8,0.000
UWS,L00_SV25,negative,False,713,0,3,0,0,3,3,0.000
UWS,L00_SV25,positive,True,713,0,39,0,5,0,15,0.000
UWS,L00_SV26,negative,True,885,0,26,1,30,0,5,0.037
UWS,L00_SV26,positive,False,885,0,14,3,0,0,6,0.176
UWS,L00_SV27,negative,False,709,0,16,0,47,0,0,0.000
UWS,L00_SV27,positive,True,709,0,25,0,0,1,36,0.000
UWS,L00_SV28,negative,False,67,0,1,1,23,0,0,0.500
UWS,L00_SV28,positive,True,67,0,61,0,0,0,2,0.000
UWS,L00_SV29,negative,False,1017,0,25,2,0,0,9,0.074
UWS,L00_SV29,positive,True,1017,0,43,0,21,0,0,0.000
UWS,L00_SV30,negative,True,773,0,54,0,2,0,5,0.000
UWS,L00_SV30,positive,False,773,0,3,12,8,2,25,0.800
UWS,L00_SV31,negative,True,1109,0,32,4,0,0,14,0.111
UWS,L00_SV31,positive,False,1109,0,1,0,0,1,0,0.000
UWS,L00_SV32,negative,False,952,0,6,3,0,2,5,0.333
UWS,L00_SV32,positive,True,952,0,5,0,56,0,1,0.000
UWS,L00_SV33,negative,True,1465,0,43,0,0,0,0,0.000
UWS,L00_SV33,positive,False,1465,0,59,0,2,0,2,0.000
UWS,L00_SV34,negative,True,692,0,12,0,0,0,14,0.000
UWS,L00_SV34,positive,False,692,0,15,45,0,0,2,0.750
UWS,L00_SV35,negative,True,1327,0,36,5,4,0,14,0.122
UWS,L00_SV35,positive,False,1327,0,22,0,0,1,3,0.000
UWS,L00_SV36,negative,False,1373,0,17,7,27,0,13,0.292
UWS,L00_SV36,positive,True,1373,0,1,0,0,0,5,0.000
UWS,L00_SV37,negative,True,1399,0,10,1,0,0,2,0.091
UWS,L00_SV37,positive,False,1399,0,0,0,64,0,0,
UWS,L00_SV38,negative,False,1328,0,27,0,13,0,20,0.000
UWS,L00_SV38,positive,True,1328,0,16,0,0,0,18,0.000
UWS,L00_SV39,negative,True,945,0,58,0,0,0,4,0.000
UWS,L00_SV39,positive,False,945,0,1,0,0,0,0,0.000
UWS,L00_SV40,negative,False,516,0,42,0,0,0,2,0.000
UWS,L00_SV40,positive,True,516,0,13,0,38,0,1,0.000
UWS,L00_SV41,negative,True,289,0,61,1,0,0,2,0.016
UWS,L00_SV41,positive,False,289,0,0,2,0,0,4,1.000
UWS,L00_SV42,negative,True,394,0,43,2,0,0,17,0.044
UWS,L00_SV42,positive,False,394,0,0,0,0,2,3,
UWS,L00_SV43,negative,True,1081,0,39,0,0,0,22,0.000
UWS,L00_SV43,positive,False,1081,0,9,1,1,0,10,0.100
UWS,L00_SV44,negative,True,366,0,5,47,0,0,10,0.904
UWS,L00_SV44,positive,False,366,0,1,0,1,0,4,0.000
UWS,L00_SV45,negative,False,560,0,34,14,0,0,16,0.292
UWS,L00_SV45,positive,True,560,0,14,0,0,3,10,0.000
UWS,L00_SV46,negative,False,1280,0,45,13,0,0,0,0.224
UWS,L00_SV46,positive,True,1280,0,0,0,3,0,0,
UWS,L00_SV47,negative,True,915,0,40,5,0,0,13,0.111
UWS,L00_SV47,positive,False,915,0,46,0,0,1,2,0.000
UWS,L00_SV48,negative,True,1059,0,8,18,0,0,20,0.692
UWS,L00_SV48,positive,False,1059,0,45,0,12,0,4,0.000
UWS,L00_SV49,negative,True,1301,0,4,4,49,0,7,0.500
UWS,L00_SV49,positive,False,1301,0,15,0,0,0,7,0.000
UWS,L00_SV50,negative,True,1260,0,6,0,0,0,26,0.000
UWS,L00_SV50,positive,False,1260,0,48,0,14,0,0,0.000
UWS,L00_SV51,negative,False,1194,0,0,0,0,0,0,
UWS,L00_SV51,positive,True,1194,0,26,0,0,0,35,0.000
UWS,L00_SV52,negative,True,1187,0,61,0,0,0,1,0.000
UWS,L00_SV52,positive,False,1187,0,6,0,46,0,1,0.000
UWS,L00_SV53,negative,True,1125,0,47,0,14,0,3,0.000
