subject,relation,prompt,position_mode,ablated_positions,band,condition,replicate,greedy_span,content_token,content_index,span_logp_clean,span_logp_cond,delta_span_logp,content_logp_clean,content_logp_cond,delta_content_logp,rank_content_under_cond,content_top1_changed,content_top1_cond,kl_first_token
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-13,jspace,0," New York, in", New,0,-4.693,-5.0626,-0.3696,-1.2711,-1.5964,-0.3254,1,0, New,0.513
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-13,jspace_keep_name,0," New York, in", New,0,-4.693,-5.0838,-0.3908,-1.2711,-1.5599,-0.2888,1,0, New,0.4517
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-13,jspace_restore_rest,0," New York, in", New,0,-4.693,-4.8258,-0.1328,-1.2711,-1.4471,-0.1761,1,0, New,0.194
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-13,name_lens,0," New York, in", New,0,-4.693,-4.8101,-0.1171,-1.2711,-1.4,-0.129,1,0, New,0.1416
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-17,jspace,0," New York, in", New,0,-4.693,-4.8026,-0.1096,-1.2711,-1.3826,-0.1115,1,0, New,0.475
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-17,jspace_keep_name,0," New York, in", New,0,-4.693,-5.3897,-0.6967,-1.2711,-1.8416,-0.5705,1,0, New,0.7112
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-17,jspace_restore_rest,0," New York, in", New,0,-4.693,-4.8104,-0.1174,-1.2711,-1.3862,-0.1151,1,0, New,0.1541
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,9-17,name_lens,0," New York, in", New,0,-4.693,-4.8774,-0.1844,-1.2711,-1.4294,-0.1583,1,0, New,0.1297
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,6-20,jspace,0," New York, in", New,0,-4.693,-5.1846,-0.4916,-1.2711,-1.5745,-0.3035,1,0, New,0.8234
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,6-20,jspace_keep_name,0," New York, in", New,0,-4.693,-5.2712,-0.5782,-1.2711,-1.7731,-0.5021,1,0, New,0.6849
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,6-20,jspace_restore_rest,0," New York, in", New,0,-4.693,-4.929,-0.236,-1.2711,-1.4129,-0.1419,1,0, New,0.2998
Miles Davis,birth_city,Miles Davis was born in the city of,subject_last,2,6-20,name_lens,0," New York, in", New,0,-4.693,-4.9725,-0.2795,-1.2711,-1.4887,-0.2177,1,0, New,0.3313
Miles Davis,birth_year,Miles Davis was born in the year,subject_last,2,9-13,jspace,0, 1926.,192,1,-3.3536,-3.4549,-0.1013,-0.8453,-0.9728,-0.1275,1,0,192,0.0058
Miles Davis,birth_year,Miles Davis was born in the year,subject_last,2,9-13,jspace_keep_name,0, 1926.,192,1,-3.3536,-4.4514,-1.0979,-0.8453,-1.5728,-0.7275,2,1,191,0.0048
Miles Davis,birth_year,Miles Davis was born in the year,subject_last,2,9-13,jspace_restore_rest,0, 1926.,192,1,-3.3536,-4.3677,-1.0141,-0.8453,-0.7797,0.0657,1,0,192,0.0041
Miles Davis,birth_year,Miles Davis was born in the year,subject_last,2,9-13,name_lens,0, 1926.,192,1,-3.3536,-4.168,-0.8144,-0.8453,-0.7796,0.0657,1,0,192,0.004
Miles Davis,birth_year,Miles Davis was born in the year,subject_last,2,9-17,jspace,0, 1926.,192,1,-3.3536,-3.6919,-0.3384,-0.8453,-0.8934,-0.048,1,0,192,0.0049
Miles Davis,birth_year,Miles Davis was born in the year,subject_last,2,9-17,jspace_keep_name,0, 1926.,192,1,-3.3536,-3.5288,-0.1753,-0.8453,-1.1692,-0.3239,1,0,192,0.0049
Miles Davis,birth_year,Miles Davis was born in the year,subject_last,2,9-17,jspace_restore_rest,0, 1926.,192,1,-3.3536,-4.2917,-0.9381,-0.8453,-0.7671,0.0782,1,0,192,0.004
Miles Davis,birth_year,Miles Davis was born in the year,subject_last,2,9-17,name_lens,0, 1926.,192,1,-3.3536,-4.2151,-0.8615,-0.8453,-0.7935,0.0518,1,0,192,0.004
Miles Davis,birth_year,Miles Davis was born in the year,subject_last,2,6-20,jspace,0, 1926.,192,1,-3.3536,-5.7576,-2.404,-0.8453,-0.9949,-0.1496,1,0,192,0.0263
Miles Davis,birth_year,Miles Davis was born in the year,subject_last,2,6-20,jspace_keep_name,0, 1926.,192,1,-3.3536,-4.8911,-1.5376,-0.8453,-0.4417,0.4036,1,0,192,0.0327
Miles Davis,birth_year,Miles Davis was born in the year,subject_last,2,6-20,jspace_restore_rest,0, 1926.,192,1,-3.3536,-4.9253,-1.5717,-0.8453,-0.7933,0.052,1,0,192,0.0035
