word	label	subtype
's	F	
aaa	X	
ability	R	
able	S	evaluative
aboard	R	
abound	R	
about	F	
above	F	
abraham	R	
absence	R	
absolute	S	degree
absolutely	S	degree
abstract	R	
abuse	R	
academic	R	
academy	R	
accelerated	R	
acceptance	R	
accepted	R	
access	R	
accessibility	R	
accessible	R	
accessing	R	
accessories	R	
accommodate	R	
accommodation	R	
accommodations	R	
accompanied	R	
accomplish	R	
accomplished	R	
accomplishment	R	
accomplishments	R	
accordance	R	
according	S	epistemic
accordingly	F	
account	R	
accountability	R	
accounts	R	
accuracy	R	
accurate	S	evaluative
accurately	S	evaluative
accuse	R	
accustomed	R	
achieve	R	
achievement	R	
achievements	R	
acknowledged	S	speech_act
across	F	
act	R	
acting	R	
action	R	
actions	R	
activate	R	
activated	R	
active	R	
actively	R	
activities	R	
activity	R	
actor	R	
acts	R	
actual	S	epistemic
actually	S	epistemic
acute	R	
ad	R	
adapt	R	
adaptar	X	
adapted	R	
add	R	
added	R	
adding	R	
addition	R	
additional	R	
additionally	F	
address	R	
adds	R	
adequate	S	evaluative
adequately	S	evaluative
adhere	R	
adherence	R	
adjusted	R	
administration	R	
administrative	R	
administrators	R	
adopted	R	
ads	R	
adult	R	
advance	R	
advanced	R	
advantage	R	
adventure	R	
adventures	R	
adverse	S	evaluative
adversely	S	evaluative
advertenties	X	
advertising	R	
advice	R	
advisable	R	
advised	R	
advisory	R	
advocacy	R	
advocating	R	
aerial	R	
affairs	R	
affect	R	
affected	R	
affecting	R	
affinity	R	
affirmed	S	speech_act
affordability	R	
affordable	R	
afraid	S	evaluative
africa	R	
african	R	
after	F	
afternoon	R	
again	F	
against	F	
age	R	
agency	R	
ago	F	
agree	S	speech_act
agreed	S	speech_act
agreement	R	
agreements	R	
ahead	F	
ai	F	
aid	R	
aids	R	
aim	R	
air	R	
airport	R	
al	F	
ala	R	
alan	R	
alarming	R	
albeit	F	
alerted	R	
alerts	R	
alex	R	
algebra	R	
algorithm	R	
alien	R	
align	R	
all	F	
alleged	S	epistemic
allegedly	S	epistemic
