id	bank	candidate	polarity	tier	label
T0350	UWS	L20_SV59	positive	selective_top100	STRUCTURAL
T0233	UWS	L18_SV02	negative	selective_top100	REFERENCE
T1683	UWS	L10_SV45	positive	selective_top100	REFERENCE
T8627	UWS	L00_SV22	positive	selective_top100	MIXED
T2281	UWS	L07_SV53	positive	selective_top100	REFERENCE
T7107	GSS	L11_SV02	positive	broad_top15	STRUCTURAL
T3191	UWS	L21_SV21	positive	selective_top100	STRUCTURAL
T3457	UWS	L12_SV17	negative	mid_random	REFERENCE
T0458	GSS	L07_SV48	positive	mid_random	STANCE
T4126	GSS	L16_SV43	negative	selective_top100	REFERENCE
T3486	GSS	L05_SV41	negative	selective_top100	MIXED
T4799	UWS	L06_SV03	negative	broad_top15	MIXED
T8211	UWS	L00_SV28	positive	selective_top100	REFERENCE
T3940	UWS	L09_SV10	negative	broad_top15	REFERENCE
T9608	GSS	L17_SV28	positive	selective_top100	REFERENCE
T5341	GSS	L17_SV52	positive	selective_top100	REFERENCE
T4249	UWS	L15_SV39	positive	selective_top100	STANCE
T8918	UWS	L11_SV10	negative	broad_top15	STRUCTURAL
T6865	UWS	L20_SV47	negative	selective_top100	STRUCTURAL
T2147	GSS	L01_SV18	positive	selective_top100	REFERENCE
T0997	GSS	L15_SV52	positive	selective_top100	REFERENCE
T5796	GSS	L09_SV11	positive	selective_top100	REFERENCE
T7506	GSS	L08_SV02	negative	broad_top15	REFERENCE
T9557	GSS	L03_SV36	positive	selective_top100	REFERENCE
T8466	GSS	L08_SV29	negative	mid_random	REFERENCE
T6891	GSS	L01_SV09	positive	selective_top100	REFERENCE
T8219	UWS	L11_SV08	positive	broad_top15	STRUCTURAL
T2142	UWS	L08_SV10	positive	mid_random	MIXED
T8713	GSS	L15_SV10	positive	selective_top100	REFERENCE
T2487	UWS	L20_SV48	positive	selective_top100	REFERENCE
T8577	UWS	L07_SV44	positive	selective_top100	REFERENCE
T8364	UWS	L21_SV51	positive	selective_top100	STRUCTURAL
T0306	UWS	L11_SV50	positive	selective_top100	REFERENCE
T7211	UWS	L15_SV43	negative	selective_top100	REFERENCE
T3000	UWS	L20_SV64	positive	selective_top100	REFERENCE
T9970	GSS	L00_SV39	positive	selective_top100	REFERENCE
T0064	UWS	L17_SV19	positive	selective_top100	REFERENCE
T2454	GSS	L13_SV30	positive	mid_random	REFERENCE
T2823	UWS	L05_SV39	negative	selective_top100	REFERENCE
T2319	GSS	L05_SV50	positive	mid_random	REFERENCE
T7757	UWS	L05_SV07	positive	selective_top100	MIXED
T1971	GSS	L01_SV29	negative	selective_top100	MIXED
T9117	UWS	L22_SV58	negative	selective_top100	STRUCTURAL
T1011	UWS	L04_SV46	positive	mid_random	STRUCTURAL
T5340	GSS	L02_SV06	negative	selective_top100	REFERENCE
T8492	GSS	L06_SV47	negative	mid_random	REFERENCE
T8695	GSS	L15_SV63	negative	mid_random	REFERENCE
T9100	UWS	L04_SV06	positive	broad_top15	STRUCTURAL
T7905	GSS	L04_SV27	positive	selective_top100	MIXED
T1738	GSS	L08_SV40	positive	selective_top100	REFERENCE
T9179	GSS	L09_SV36	negative	selective_top100	REFERENCE
T0930	GSS	L10_SV07	negative	broad_top15	STANCE
T4071	GSS	L14_SV51	negative	selective_top100	REFERENCE
T3134	GSS	L13_SV11	positive	selective_top100	REFERENCE
T4537	UWS	L16_SV41	negative	mid_random	REFERENCE
T0691	UWS	L10_SV10	positive	broad_top15	REFERENCE
T1601	UWS	L08_SV57	positive	selective_top100	STANCE
T8318	UWS	L01_SV05	negative	selective_top100	REFERENCE
T7408	UWS	L10_SV08	negative	broad_top15	REFERENCE
T9203	GSS	L14_SV52	negative	selective_top100	REFERENCE
T0456	UWS	L02_SV18	negative	selective_top100	REFERENCE
T1038	GSS	L06_SV01	negative	broad_top15	STRUCTURAL
T7262	GSS	L19_SV11	positive	selective_top100	REFERENCE
T5334	GSS	L04_SV02	negative	broad_top15	STRUCTURAL
T8282	GSS	L07_SV42	negative	mid_random	REFERENCE
T9930	UWS	L18_SV35	negative	selective_top100	REFERENCE
T8391	GSS	L08_SV44	positive	selective_top100	REFERENCE
T3267	GSS	L02_SV03	positive	broad_top15	STRUCTURAL
T4541	GSS	L10_SV60	positive	selective_top100	REFERENCE
T7411	GSS	L14_SV60	negative	selective_top100	REFERENCE
T8325	UWS	L18_SV39	positive	selective_top100	STRUCTURAL
T8737	UWS	L06_SV45	positive	selective_top100	REFERENCE
T7832	UWS	L21_SV60	negative	mid_random	STRUCTURAL
T8319	UWS	L11_SV10	positive	broad_top15	REFERENCE
T4057	GSS	L19_SV24	negative	selective_top100	REFERENCE
T8572	GSS	L13_SV55	positive	mid_random	REFERENCE
T4253	UWS	L12_SV59	negative	selective_top100	REFERENCE
T9167	GSS	L09_SV07	negative	broad_top15	STANCE
T3319	UWS	L10_SV39	negative	selective_top100	REFERENCE
T7332	UWS	L12_SV01	negative	selective_top100	STRUCTURAL
T2246	GSS	L04_SV52	negative	selective_top100	REFERENCE
T6826	UWS	L01_SV12	positive	selective_top100	REFERENCE
T1992	GSS	L03_SV62	positive	selective_top100	REFERENCE
T6428	GSS	L14_SV64	positive	selective_top100	REFERENCE
T7243	GSS	L19_SV10	positive	selective_top100	REFERENCE
T5177	GSS	L12_SV45	positive	selective_top100	REFERENCE
T1188	GSS	L20_SV20	negative	selective_top100	REFERENCE
T3942	UWS	L10_SV54	negative	mid_random	REFERENCE
T7017	UWS	L21_SV24	positive	selective_top100	STRUCTURAL
T1198	UWS	L02_SV35	negative	selective_top100	REFERENCE
T3484	GSS	L09_SV55	negative	selective_top100	REFERENCE
T4960	GSS	L06_SV16	negative	selective_top100	REFERENCE
T2004	UWS	L12_SV10	positive	broad_top15	REFERENCE
T2530	GSS	L08_SV51	positive	mid_random	REFERENCE
