trajectory,sv_index_0,layer,canonical_positive_tokens,canonical_negative_tokens,n_positive_tokens,n_negative_tokens
SV_02,2,2, crucial |  vital |  | .In |  Mueller |  Ruiz |  ended |  instincts | 運 | many |  insol | öff,γελμα | ৫ |  മെ | ৬ | {x |  Oromiyaa | ‌ |  ম | ५ | ССР |  తగ్గ |  დაკ,32,32
SV_02,2,3, | humid |  crucial |  referencing |  directions |  graduating | _registration | dire |  exercising |  stool | -Origin | ữ, മെ |  gev |  செயல | γελμα |  للبيع |  Lightning |  لين |  LK |  lv |  Oromiyaa | 600 |  حجم,32,32
SV_02,2,4,plural | mo |  insulating |  plural |  ANSW |  graduating | MAN | many | 휘 |  Mo | ữ |  bizi, asio | +-+-+-+- |  മെ | Aside |  gev |  მოახ |  verke |  svůj | ionale | Adaptor |  Balk |  helpers,32,32
SV_02,2,5, almacen |  francés |  */\n/ | reachable |  wyb | }\n/ | UPDATE |  sobie | -contact |  포함 |  insulating | _MANAGER,osexual | ition |  स्त | 发财 |  מאז | EClass | allo | atalaga |  Hl |  asio |  granny | itionally,32,32
SV_02,2,6, almacen | arr |  powin | }\n/ | returned | };\n/ | correct | reachable |  lingering | _arr |  wyb | aina, स्त |  |  granny |  � | уле | osexual |  verst |  abab |  mascar |  | Backdrop |  cale,32,32
SV_02,2,7,"_arr |  riusc | arr | Ling |  coordin | -cre | };\n/ |  kontak | }\n/ |  | .\"" | cre", MAIS |  威 |  observe | Shim |  epit | уми |  abab |  trauma |  mascar | (ep |  Calder |  jerk,32,32
SV_02,2,8,_arr | Ice |  riusc | _gate | Pers |  coordin | 	tr |  hålla | infra |  وفر | tragen | tex, epit | уми |  trauma | (ep | iov |  威 |  observe |  epistem | Shim |  claims |  ней |  scorer,32,32
SV_02,2,9,Luc | Ice | � | luc | anna | _gate | � | 昼 | [in | gate | 伊 |  Gate, toon |  openly | iov |  威 |  epistem |  მეო |  indig |  jerk |  Scotch | WHO |  contradict |  Silicon,32,32
SV_02,2,10,Luc | � | anna | luc | [in | � | _gate | 引 | CT | ự | Ice |  Gate, toon |  epistem |  Privat |  relic |  semif |  openly |  усл |  abonnement |  მცირე |  ущер |  Remodel |  Silicon,32,32
SV_02,2,11,Luc | anna | luc | � | [in | Ward | infra | _gate | � | (in | Lion | (object, epistem |  toon |  Privat |  semif |  Remodel | iov |  木 |  ä |  indig |  усл |  威 |  ущер,32,32
SV_09,9,9,775 |  Marco |  বলে |  oficina | 336 |  � | mia |  উল্লেখ |  puer |  Sous |  bille |  착, tank |  BC |  conversation |  don |  share | acr |  ab |  fil | HB |  teacher |  BH |  Byr,32,32
SV_09,9,10,336 | Gut |  বলে | 775 |  � |  Marco | .arrow |  puer | mia |  Taste |  착 | 756, nos |  exert |  BH |  fring |  tank |  ab |  eng |  don |  OV | acr |  seniors |  BC,32,32
SV_09,9,11,336 | Gut |  বলে | 775 | ERTA |  puer | 306 |  oficina |  Marco |  Már |  টাই | mia, nos |  BH |  eng |  exert |  ab |  seniors |  temper | acr |  fring |  don | 触 |  constantly,32,32
SV_09,9,12,336 |  বলে | Gut | 332 | helle |  puer | ERTA | 775 |  � |  forage |  টাই |  মিন, nos |  eng |  exert |  temper |  BH |  don |  ab |  conversation |  fring | 触 |  seniors |  ar,32,32
SV_09,9,13,336 |  বলে | Gut |  프로 | ERTA |  PROP |  Már | プロ | helle |  puer | 332 |  �, nos |  temper |  ar |  eng | 触 |  conversation |  exert |  ab |  fring |  BH |  overshadow |  Scott,32,32
SV_09,9,14,336 |  বলে | helle |  프로 | Gut | プロ | ADM | 332 | closures |  clín | ERTA | 306, ar |  eng |  exert |  temper |  buzz |  disclaim | � |  conversation |  fring |  Scott |  bul |  nos,32,32
SV_09,9,15, 프로 | プロ | helle | Hints |  বলে |  clín | Gut |  probi | unks |  geom | closures | �, eng |  buzz |  bul |  exert |  Pf |  ar |  scal |  Syl |  Mel |  tank | � |  irrational,32,32
