id,document_index,sense,variant,valid,svd_axis,row_own,row_main,lens_logit_own,context_marked
0,2,month,May,1,-15.0042,-1.0804,11.6759,-1.6750,"Business Immersion for the Health Sciences ⟦May⟧ 17-27, 2021 Virtual Online Bootcamp Business Immersion for the Health Sciences is an elective course that brings students from the Texas A&M Health Science Center’s colleges of medicine"
1,6,month, May,1,-3.7302,26.3899,24.4215,5.0227,". Top with a scoop of frozen yogurt and reserved cake cutouts. Drizzle with raspberry mixture. Serve immediately. Yield: 10 servings. Originally published as Angel Peach Melba in Simple & Delicious⟦ May⟧/June 2006, p25 Reviews for Angel Peach Melba Please Log In or Join to add a rating and review. Click stars to rate Any changes to your rating or review"
2,9,epistemic, may,1,-16.6645,13.5917,13.5917,2.8440," your Bluetooth speaker (and if you don’t already have a Bluetooth speaker, for goodness sakes buy one immediately, you fool) and dance your way through your hot, sudsy shower! (You⟦ may⟧ even burn a few calories grooving!) Happy Wednesday, friends! What are your favorite jams to kick off the morning to?"
3,11,epistemic, may,1,-19.8936,1.3345,1.3345,-3.3665," email newsletters here. Get breaking news delivered right to your phone -- just text NYBREAKING to 639710. For more info, text HELP. To end, text STOP. Message and data rates⟦ may⟧ apply. Published at 5:07 PM EDT on Jun 17, 2012 Copyright Associated Press"
4,12,month, May,1,-10.1993,7.1671,11.2748,-1.2677,"ugs policy up in smoke While Mark Lewis-Francis has lost a silver medal after traces of cannabis were found in his urine, blatant cheating over samples is left unpunished Published: 15⟦ May⟧ 2005 SOMETIMES you’ve got to laugh at the lengths to which sportsmen go to plead their innocence. Yes, we are talking drugs again — and before you turn away,"
5,14,deontic, may,1,-12.3900,3.5131,3.5131,3.2981," two, next time we'll go to at least four, probably six. How to play: Split the players into teams. Set acting boundaries (we used the key of our gym basketball court). The actor⟦ may⟧ move freely within these boundaries (for dodging purposes). Set player boundaries (our teams were split around the three-point circle). The first ""actor"" from each team gets to Rock-Paper-Sc"
6,19,other, May,1,-7.0754,15.2411,17.3845,1.2380,"’s the fact that you have to stop and charge attacks to use them. This breaks up the flow of combat considerably. So rather than having the game move fluidly in and out of combat like Devil⟦ May⟧ Cry 2, the game ends up feeling like a chore because it feels like each action is done separately. The camera also is a rather annoying part of the game as most cameras in action games are"
7,23,epistemic, may,1,7.1061,3.3672,3.3672,-0.2890,"ation of d-amphetamine-induced disruption of conditional discrimination performance by alpha-flupenthixol MetadataShow full item record Rationale Previous evidence suggests that manipulation of forebrain dopamine (DA) systems⟦ may⟧ impair the use of conditional information to inform goal-directed performance, and this may be related to impairments in the ability to use task-setting cues in schizophrenia. Objective To investigate, using the indirect DA agon"
8,23,epistemic, may,1,-17.0868,6.4820,6.4820,0.0754,"enthixol MetadataShow full item record Rationale Previous evidence suggests that manipulation of forebrain dopamine (DA) systems may impair the use of conditional information to inform goal-directed performance, and this⟦ may⟧ be related to impairments in the ability to use task-setting cues in schizophrenia. Objective To investigate, using the indirect DA agonist d-amphetamine and the D1/D2 receptor antagonist α-flup"
9,29,epistemic, may,1,-12.4853,10.6002,10.6002,5.7507," of helping Karen Lee transition from this life to the next. And I thank you all for being so supportive of me during this time. Karen Lee was 55 years old when she died. As you⟦ may⟧ know, for the last ten years of her challenging life, Karen Lee was homeless. However because of your care, Karen Lee lived the last 24 days of her life free of pain and indoors. "
